feature,importance
avg_complementarity,0.3488761503863129
position_bias,0.23056907671028257
user_log_orders,0.18700513860305482
segment_enc,0.07049548656141362
pop_score,0.027640601666667104
addon_ratio,0.014724665431385297
log_price,0.010466661553647236
starter_order_rate,0.009242133689038135
beverage_order_rate,0.008867863374178265
cart_value_log,0.008845875208035649
offer_redemption_rate,0.008055929427729923
avg_order_value,0.0076394520231861576
dessert_order_rate,0.007317699384796191
rating_norm,0.007098378111283199
rest_log_orders,0.006445613768759007
price_sensitivity,0.006035853179859193
rest_rating_norm,0.004461376711193451
hour_sin,0.003622551374722236
hour_cos,0.0033617854434170643
cuisine_enc,0.0029529127862196317
rtype_enc,0.002886014638988365
meal_completeness_score,0.002687009274455695
is_cold_start,0.002460504109895379
dow_sin,0.0022272235310435195
is_veg,0.002136531789190356
category_enc,0.001862884487709002
cloud_kitchen,0.0014315126080971393
zone_enc,0.0012136412454497114
dow_cos,0.0011133285679427029
cart_item_count,0.00106600761345633
weather_enc,0.0010302717030575158
season_enc,0.000884131804014025
meal_time_enc,0.0007430876138805572
rest_price_norm,0.0007198012288381185
is_sparse_user,0.00045779709053582474
is_spicy,0.0004192602976012393
is_peak_hour,0.00038996732677739005
chain_indicator,0.0003306154496116968
has_dessert,0.00026979339217048955
is_new_item,0.0002623123034409163
is_new_restaurant,0.0002586364469697237
missing_dessert,0.00024750792783532257
is_weekend,0.00024123066599483872
is_single_item_cart,0.00021671764401747922
missing_starter,0.0001552645164933332
has_bread,0.0001050804679065206
has_beverage,9.999100273907187e-05
has_starter,9.590442270142549e-05
missing_bread,8.74269969856733e-05
has_main_course,6.142407838003757e-05
missing_beverage,4.7506627364758385e-05
is_bestseller,4.442961141470109e-05
is_festival,2.197811985943654e-05
budget_enc,0.0
